fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F3[Hz]	F4[Hz]	F1[Bark]	F2[Bark]	F3[Bark]	F4[Bark]
subj_14_kiggif_Pre_48	I	257	425	2679	3351	4143	4	15	16	18
subj_14_piffif_19_Post	I	252	497	2180	3091	4011	5	13	16	18
subj_14_piffif_25_Post	I	247	484	2166	3020	4196	5	13	16	18
subj_14_piffif_45_Post	I	256	490	2173	2971	3947	5	13	16	18
subj_14_piffif_AF2_20	I	265	303	1697	2931	4160	3	12	15	18
subj_14_piffif_AF2_23	I	276	293	1863	2481	3524	3	12	14	17
subj_14_piffif_AF2_52	I	257	365	1664	2939	4014	4	12	15	18
subj_14_piffif_MN1_27	I	250	433	1724	2965	4185	4	12	16	18
subj_14_piffif_MN1_35	I	267	334	1425	2951	4264	3	11	16	18
subj_14_piffif_MN1_41	I	246	444	1787	2880	4120	4	12	15	18
subj_14_piffif_Pre_10	I	248	476	2273	3062	4117	5	14	16	18
subj_14_piffif_Pre_24	I	252	491	2400	3150	4048	5	14	16	18
subj_14_piffif_Pre_30	I	250	478	2312	3113	4077	5	14	16	18
subj_14_tissif_2_Post	I	238	461	2244	3133	4060	5	14	16	18
subj_14_tissif_34_Post	I	261	500	2108	3065	3941	5	13	16	18
subj_14_tissif_38_Post	I	253	499	2178	3052	4036	5	13	16	18
subj_14_tissif_AF2_2	I	235	360	1432	2966	4008	4	11	16	18
subj_14_tissif_AF2_38	I	260	308	1332	2914	3969	3	10	15	18
subj_14_tissif_AF2_44	I	135	448	1636	2942	4100	5	12	16	18
subj_14_tissif_MN1_22	I	263	297	1533	3014	4026	3	11	16	18
subj_14_tissif_MN1_24	I	249	439	1663	2988	4138	4	12	16	18
subj_14_tissif_MN1_53	I	256	398	1507	2959	4176	4	11	16	18
subj_14_tissif_Pre_0	I	232	450	2324	3160	4151	5	14	16	18
subj_14_tissif_Pre_23	I	250	477	2279	3081	4203	5	14	16	18
subj_14_tissif_Pre_34	I	260	353	2179	3101	4097	4	13	16	18
subj_15_kiggif_16_Post	I	192	414	2308	2881	4159	4	14	15	18
subj_15_kiggif_38_Post	I	170	398	2347	2907	4022	4	14	15	18
subj_15_kiggif_49_Post	I	189	429	2376	2905	4016	4	14	15	18
subj_15_kiggif_AF2_1	I	312	660	1572	2416	3118	6	11	14	16
subj_15_kiggif_AF2_12	I	232	581	1362	2691	2862	6	10	15	15
subj_15_kiggif_AF2_28	I	259	768	1520	2594	2922	7	11	15	15
subj_15_kiggif_MN1_17	I	265	812	1369	2614	3403	7	10	15	16
subj_15_kiggif_MN1_45	I	205	654	1306	2545	3213	6	10	15	16
