"","fileName","subj","word","block","seq","Label","F0Hz","F1Hz","F2Hz","F1Bark","F2Bark","gender","BB","AF","F1erb","F2erb"
"47","subj_11_tissif_50_Post","11","tissif","4",50,"I",215,422,2384,4,14,"F","NB","MN",9.22109972268529,23.7534422256608
"48","subj_11_tissif_MN1_31","11","tissif","2",31,"I",249,465,2278,5,14,"F","NB","MN",9.82526338254348,23.2736396068642
"49","subj_11_tissif_MN1_32","11","tissif","2",32,"I",248,480,2361,5,14,"F","NB","MN",10.0277878333438,23.6149236060484
"50","subj_11_tissif_MN1_53","11","tissif","2",53,"I",243,480,2135,5,13,"F","NB","MN",10.0277878333438,22.6281808554313
"51","subj_11_tissif_Pre_14","11","tissif","1",14,"I",217,419,2386,4,14,"F","NB","MN",9.1775713502903,23.7639446355805
"52","subj_11_tissif_Pre_27","11","tissif","1",27,"I",220,426,2426,4,14,"F","NB","MN",9.27884823705147,23.9231558915908
"53","subj_11_tissif_Pre_52","11","tissif","1",52,"I",195,385,2490,4,14,"F","NB","MN",8.67074706422068,24.2116051054646
"54","subj_14_kiggif_31_Post","14","kiggif","4",31,"I",250,443,2452,4,14,"F","BB","MN",9.52066954158584,24.0161621276683
"55","subj_14_kiggif_36_Post","14","kiggif","4",36,"I",264,448,2353,5,14,"F","BB","MN",9.59070674226307,23.6050456323426
"56","subj_14_kiggif_48_Post","14","kiggif","4",48,"I",250,483,2204,5,14,"F","BB","MN",10.0678083039824,22.9365810343466
"57","subj_14_kiggif_MN1_25","14","kiggif","2",25,"I",251,415,1500,4,11,"F","BB","MN",9.11924128733512,19.3203555886404
"58","subj_14_kiggif_MN1_33","14","kiggif","2",33,"I",251,431,1181,4,9,"F","BB","MN",9.35057394109567,17.1455221701111
"59","subj_14_kiggif_MN1_36","14","kiggif","2",36,"I",283,416,957,4,8,"F","BB","MN",9.13385528602651,15.3408390820392
"60","subj_14_kiggif_Pre_14","14","kiggif","1",14,"I",245,464,2497,5,14,"F","BB","MN",9.81161588087465,24.1810535791825
"61","subj_14_kiggif_Pre_33","14","kiggif","1",33,"I",278,321,2578,3,15,"F","BB","MN",7.64246276096274,24.6045697405717
"62","subj_14_kiggif_Pre_48","14","kiggif","1",48,"I",257,425,2679,4,15,"F","BB","MN",9.26444193777686,24.9111005469185
"63","subj_14_piffif_19_Post","14","piffif","4",19,"I",252,497,2180,5,13,"F","BB","MN",10.2524922824796,22.8192110075013
"64","subj_14_piffif_25_Post","14","piffif","4",25,"I",247,484,2166,5,13,"F","BB","MN",10.0811131518551,22.7658531306255
"65","subj_14_piffif_45_Post","14","piffif","4",45,"I",256,490,2173,5,13,"F","BB","MN",10.1605745918024,22.7929435153216
"66","subj_14_piffif_MN1_27","14","piffif","2",27,"I",250,433,1724,4,12,"F","BB","MN",9.37912254550143,20.6089731847803
"67","subj_14_piffif_MN1_35","14","piffif","2",35,"I",267,334,1425,3,11,"F","BB","MN",7.85986277350663,18.9082802551681
"68","subj_14_piffif_MN1_41","14","piffif","2",41,"I",246,444,1787,4,12,"F","BB","MN",9.53471586875449,20.9412399892256
"69","subj_14_piffif_Pre_10","14","piffif","1",10,"I",248,476,2273,5,14,"F","BB","MN",9.97417836892556,23.2439450953611
"70","subj_14_piffif_Pre_24","14","piffif","1",24,"I",252,491,2400,5,14,"F","BB","MN",10.1737572992991,23.7686183645172
"71","subj_14_piffif_Pre_30","14","piffif","1",30,"I",250,478,2312,5,14,"F","BB","MN",10.0010187995652,23.4097348249797
"72","subj_14_tissif_2_Post","14","tissif","4",2,"I",238,461,2244,5,14,"F","BB","MN",9.77056217987799,23.1289859762627
"73","subj_14_tissif_34_Post","14","tissif","4",34,"I",261,500,2108,5,13,"F","BB","MN",10.2916294504987,22.4895205408064
"74","subj_14_tissif_38_Post","14","tissif","4",38,"I",253,499,2178,5,13,"F","BB","MN",10.2786006762271,22.8087708540123
"75","subj_14_tissif_MN1_22","14","tissif","2",22,"I",263,297,1533,3,11,"F","BB","MN",7.22860331550449,19.6096132610065
"76","subj_14_tissif_MN1_24","14","tissif","2",24,"I",249,439,1663,4,12,"F","BB","MN",9.46428824372654,20.2647625893556
"77","subj_14_tissif_MN1_53","14","tissif","2",53,"I",256,398,1507,4,11,"F","BB","MN",8.86752899965568,19.3760104184081
"78","subj_14_tissif_Pre_0","14","tissif","1",0,"I",232,450,2324,5,14,"F","BB","MN",9.61858623526041,23.4813531023428
"79","subj_14_tissif_Pre_23","14","tissif","1",23,"I",250,477,2279,5,14,"F","BB","MN",9.98760753152681,23.2691045745572
"80","subj_14_tissif_Pre_34","14","tissif","1",34,"I",260,353,2179,4,13,"F","BB","MN",8.16952702340298,22.9212151647556
"81","subj_15_kiggif_16_Post","15","kiggif","4",16,"I",192,414,2308,4,14,"F","BB","AF",9.1046062035164,23.4399561336784
"82","subj_15_kiggif_38_Post","15","kiggif","4",38,"I",170,398,2347,4,14,"F","BB","AF",8.86752899965568,23.6168485045452
"83","subj_15_kiggif_49_Post","15","kiggif","4",49,"I",189,429,2376,4,14,"F","BB","AF",9.32194459722326,23.7150712900187
"84","subj_15_kiggif_AF2_1","15","kiggif","2",1,"I",312,660,1572,6,11,"F","BB","AF",12.1834972689528,19.5757658570022
"85","subj_15_kiggif_AF2_12","15","kiggif","2",12,"I",232,581,1362,6,10,"F","BB","AF",11.2942984482974,18.313355214129
"86","subj_15_kiggif_AF2_28","15","kiggif","2",28,"I",259,768,1520,7,11,"F","BB","AF",13.2820083104308,19.1847638149743
"87","subj_15_kiggif_Pre_10","15","kiggif","1",10,"I",264,442,2385,4,14,"F","BB","AF",9.5066036676084,23.7428016764303
"88","subj_15_kiggif_Pre_13","15","kiggif","1",13,"I",302,543,2398,5,14,"F","BB","AF",10.8364178137917,23.7221571237379
"89","subj_15_kiggif_Pre_22","15","kiggif","1",22,"I",295,600,2349,6,14,"F","BB","AF",11.5155669885422,23.4765960162327
"90","subj_15_piffif_15_Post","15","piffif","4",15,"I",200,475,2032,5,13,"F","BB","AF",9.96073126619783,22.1515117946598
