fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F3[Hz]	F4[Hz]	F1[Bark]	F2[Bark]	F3[Bark]	F4[Bark]
subj_29_kiggif_Pre_18	I	130	320	2268	2649	3659	3	14	15	17
subj_29_kiggif_Pre_45	I	129	335	2291	2837	3841	3	14	15	17
subj_29_piffif_0_Post	I	138	376	1834	2763	3911	4	12	15	17
subj_29_piffif_18_Post	I	118	375	1951	3132	3752	4	13	16	17
subj_29_piffif_9_Post	I	121	319	2159	2912	3894	3	13	15	17
subj_29_piffif_AF2_19	I	123	368	1982	2821	3701	4	13	15	17
subj_29_piffif_AF2_27	I	120	382	2400	3192	3802	4	14	16	17
subj_29_piffif_AF2_48	I	124	309	1985	2856	3933	3	13	15	18
subj_29_piffif_MN1_1	I	139	448	1892	2703	3718	5	13	15	17
subj_29_piffif_MN1_21	I	132	354	2052	2734	3816	4	13	15	17
subj_29_piffif_MN1_53	I	143	438	2333	2940	3855	4	14	15	17
subj_29_piffif_Pre_47	I	127	336	2162	2964	3725	3	13	16	17
subj_29_piffif_Pre_52	I	124	311	2028	3210	3960	3	13	16	18
subj_29_piffif_Pre_9	I	127	307	2008	2731	3696	3	13	15	17
subj_29_tissif_38_Post	I	122	327	2033	2725	3969	3	13	15	18
subj_29_tissif_49_Post	I	120	382	2002	2786	3982	4	13	15	18
subj_29_tissif_4_Post	I	129	323	2060	2809	3938	3	13	15	18
subj_29_tissif_AF2_11	I	124	329	2065	2689	3962	3	13	15	18
subj_29_tissif_AF2_36	I	124	336	1829	2767	3957	3	12	15	18
subj_29_tissif_AF2_43	I	121	366	2099	2796	3984	4	13	15	18
subj_29_tissif_MN1_22	I	138	433	2029	2730	3932	4	13	15	17
subj_29_tissif_MN1_38	I	141	447	2118	2712	3867	5	13	15	17
subj_29_tissif_MN1_7	I	128	351	1891	2668	3824	4	13	15	17
subj_29_tissif_Pre_1	I	122	336	2007	2675	3862	3	13	15	17
subj_29_tissif_Pre_10	I	127	307	1911	2663	3678	3	13	15	17
subj_29_tissif_Pre_37	I	125	323	2052	2708	3930	3	13	15	17
subj_2_kiggif_31_Post	I	167	335	1878	2885	3743	3	12	15	17
subj_2_kiggif_33_Post	I	177	351	2117	2631	3518	4	13	15	17
subj_2_kiggif_45_Post	I	139	354	1939	2548	3273	4	13	15	16
subj_2_kiggif_AF2_17	I	198	410	1468	1992	3206	4	11	13	16
subj_2_kiggif_AF2_25	I	131	427	1065	1888	3326	4	9	13	16
subj_2_kiggif_AF2_6	I	95	385	1429	2450	2873	4	11	14	15
subj_2_kiggif_MN1_17	I	221	472	1529	1987	3310	5	11	13	16
subj_2_kiggif_MN1_38	I	234	485	1442	1957	3256	5	11	13	16
subj_2_kiggif_MN1_53	I	231	473	1639	1941	3702	5	12	13	17
subj_2_kiggif_Pre_11	I	139	375	1952	2835	3506	4	13	15	17
subj_2_kiggif_Pre_47	I	136	337	2109	2884	3587	3	13	15	17
subj_2_kiggif_Pre_5	I	140	354	1885	2760	3445	4	13	15	17
subj_2_piffif_38_Post	I	152	327	1953	2458	3516	3	13	14	17
subj_2_piffif_48_Post	I	138	387	1943	2490	3516	4	13	14	17
subj_2_piffif_AF2_10	I	87	426	1268	2148	4021	4	10	13	18
subj_2_piffif_AF2_33	I	196	414	1261	2016	3719	4	10	13	17
subj_2_piffif_AF2_51	I	195	402	1233	1921	3744	4	10	13	17
subj_2_piffif_MN1_31	I	218	456	1306	1959	3704	5	10	13	17
subj_2_piffif_MN1_33	I	241	486	1322	1966	3631	5	10	13	17
subj_2_piffif_MN1_44	I	239	525	1431	2002	3030	5	11	13	16
