"","fileName","subj","word","block","seq","Label","F0Hz","F1Hz","F2Hz","F3Hz","F4Hz","F1Bark","F2Bark","F3Bark","F4Bark","gender","BB","AF"
"38","subj_11_piffif_49_Post",11,"piffif","4","49","I","--undefined--",365,2429,3180,4254,4,14,16,18,"F","NB","MN"
"39","subj_11_piffif_MN1_19",11,"piffif","2","19","I","250",501,2177,2865,3967,5,13,15,18,"F","NB","MN"
"40","subj_11_piffif_MN1_23",11,"piffif","2","23","I","255",485,2265,2999,4044,5,14,16,18,"F","NB","MN"
"41","subj_11_piffif_MN1_29",11,"piffif","2","29","I","237",471,2138,2808,3917,5,13,15,17,"F","NB","MN"
"42","subj_11_piffif_Pre_10",11,"piffif","1","10","I","99",347,2585,3225,4147,4,15,16,18,"F","NB","MN"
"43","subj_11_piffif_Pre_49",11,"piffif","1","49","I","172",378,2352,2966,4095,4,14,16,18,"F","NB","MN"
"44","subj_11_piffif_Pre_6",11,"piffif","1","6","I","206",408,2275,2881,4273,4,14,15,18,"F","NB","MN"
"45","subj_11_tissif_31_Post",11,"tissif","4","31","I","222",426,2379,3092,4485,4,14,16,18,"F","NB","MN"
"46","subj_11_tissif_35_Post",11,"tissif","4","35","I","230",438,2416,3075,4555,4,14,16,19,"F","NB","MN"
"47","subj_11_tissif_50_Post",11,"tissif","4","50","I","215",422,2384,3184,4603,4,14,16,19,"F","NB","MN"
"48","subj_11_tissif_MN1_31",11,"tissif","2","31","I","249",465,2278,2913,4563,5,14,15,19,"F","NB","MN"
"49","subj_11_tissif_MN1_32",11,"tissif","2","32","I","248",480,2361,2997,4568,5,14,16,19,"F","NB","MN"
"50","subj_11_tissif_MN1_53",11,"tissif","2","53","I","243",480,2135,2876,4352,5,13,15,18,"F","NB","MN"
"51","subj_11_tissif_Pre_14",11,"tissif","1","14","I","217",419,2386,3080,4514,4,14,16,18,"F","NB","MN"
"52","subj_11_tissif_Pre_27",11,"tissif","1","27","I","220",426,2426,3109,4568,4,14,16,19,"F","NB","MN"
"53","subj_11_tissif_Pre_52",11,"tissif","1","52","I","195",385,2490,3061,4420,4,14,16,18,"F","NB","MN"
"54","subj_14_kiggif_31_Post",14,"kiggif","4","31","I","250",443,2452,3162,3835,4,14,16,17,"F","BB","MN"
"55","subj_14_kiggif_36_Post",14,"kiggif","4","36","I","264",448,2353,3176,3915,5,14,16,17,"F","BB","MN"
"56","subj_14_kiggif_48_Post",14,"kiggif","4","48","I","250",483,2204,3188,3780,5,14,16,17,"F","BB","MN"
"57","subj_14_kiggif_MN1_25",14,"kiggif","2","25","I","251",415,1500,2990,4097,4,11,16,18,"F","BB","MN"
"58","subj_14_kiggif_MN1_33",14,"kiggif","2","33","I","251",431,1181,2921,4016,4,9,15,18,"F","BB","MN"
"59","subj_14_kiggif_MN1_36",14,"kiggif","2","36","I","283",416,957,2817,3766,4,8,15,17,"F","BB","MN"
"60","subj_14_kiggif_Pre_14",14,"kiggif","1","14","I","245",464,2497,3268,4093,5,14,16,18,"F","BB","MN"
"61","subj_14_kiggif_Pre_33",14,"kiggif","1","33","I","278",321,2578,3083,3802,3,15,16,17,"F","BB","MN"
"62","subj_14_kiggif_Pre_48",14,"kiggif","1","48","I","257",425,2679,3351,4143,4,15,16,18,"F","BB","MN"
"63","subj_14_piffif_19_Post",14,"piffif","4","19","I","252",497,2180,3091,4011,5,13,16,18,"F","BB","MN"
"64","subj_14_piffif_25_Post",14,"piffif","4","25","I","247",484,2166,3020,4196,5,13,16,18,"F","BB","MN"
"65","subj_14_piffif_45_Post",14,"piffif","4","45","I","256",490,2173,2971,3947,5,13,16,18,"F","BB","MN"
"66","subj_14_piffif_MN1_27",14,"piffif","2","27","I","250",433,1724,2965,4185,4,12,16,18,"F","BB","MN"
"67","subj_14_piffif_MN1_35",14,"piffif","2","35","I","267",334,1425,2951,4264,3,11,16,18,"F","BB","MN"
"68","subj_14_piffif_MN1_41",14,"piffif","2","41","I","246",444,1787,2880,4120,4,12,15,18,"F","BB","MN"
"69","subj_14_piffif_Pre_10",14,"piffif","1","10","I","248",476,2273,3062,4117,5,14,16,18,"F","BB","MN"
"70","subj_14_piffif_Pre_24",14,"piffif","1","24","I","252",491,2400,3150,4048,5,14,16,18,"F","BB","MN"
"71","subj_14_piffif_Pre_30",14,"piffif","1","30","I","250",478,2312,3113,4077,5,14,16,18,"F","BB","MN"
"72","subj_14_tissif_2_Post",14,"tissif","4","2","I","238",461,2244,3133,4060,5,14,16,18,"F","BB","MN"
"73","subj_14_tissif_34_Post",14,"tissif","4","34","I","261",500,2108,3065,3941,5,13,16,18,"F","BB","MN"
"74","subj_14_tissif_38_Post",14,"tissif","4","38","I","253",499,2178,3052,4036,5,13,16,18,"F","BB","MN"
"75","subj_14_tissif_MN1_22",14,"tissif","2","22","I","263",297,1533,3014,4026,3,11,16,18,"F","BB","MN"
"76","subj_14_tissif_MN1_24",14,"tissif","2","24","I","249",439,1663,2988,4138,4,12,16,18,"F","BB","MN"
"77","subj_14_tissif_MN1_53",14,"tissif","2","53","I","256",398,1507,2959,4176,4,11,16,18,"F","BB","MN"
"78","subj_14_tissif_Pre_0",14,"tissif","1","0","I","232",450,2324,3160,4151,5,14,16,18,"F","BB","MN"
"79","subj_14_tissif_Pre_23",14,"tissif","1","23","I","250",477,2279,3081,4203,5,14,16,18,"F","BB","MN"
"80","subj_14_tissif_Pre_34",14,"tissif","1","34","I","260",353,2179,3101,4097,4,13,16,18,"F","BB","MN"
"81","subj_15_kiggif_16_Post",15,"kiggif","4","16","I","192",414,2308,2881,4159,4,14,15,18,"F","BB","AF"
"82","subj_15_kiggif_38_Post",15,"kiggif","4","38","I","170",398,2347,2907,4022,4,14,15,18,"F","BB","AF"
"83","subj_15_kiggif_49_Post",15,"kiggif","4","49","I","189",429,2376,2905,4016,4,14,15,18,"F","BB","AF"
"84","subj_15_kiggif_AF2_1",15,"kiggif","2","1","I","312",660,1572,2416,3118,6,11,14,16,"F","BB","AF"
"85","subj_15_kiggif_AF2_12",15,"kiggif","2","12","I","232",581,1362,2691,2862,6,10,15,15,"F","BB","AF"
"86","subj_15_kiggif_AF2_28",15,"kiggif","2","28","I","259",768,1520,2594,2922,7,11,15,15,"F","BB","AF"
"87","subj_15_kiggif_Pre_10",15,"kiggif","1","10","I","264",442,2385,2899,4224,4,14,15,18,"F","BB","AF"
"88","subj_15_kiggif_Pre_13",15,"kiggif","1","13","I","302",543,2398,2979,4201,5,14,16,18,"F","BB","AF"
"89","subj_15_kiggif_Pre_22",15,"kiggif","1","22","I","295",600,2349,2912,4070,6,14,15,18,"F","BB","AF"
"90","subj_15_piffif_15_Post",15,"piffif","4","15","I","200",475,2032,2806,4185,5,13,15,18,"F","BB","AF"
"91","subj_15_piffif_20_Post",15,"piffif","4","20","I","194",512,2113,2844,4231,5,13,15,18,"F","BB","AF"
"92","subj_15_piffif_46_Post",15,"piffif","4","46","I","193",517,2002,2787,4037,5,13,15,18,"F","BB","AF"
"93","subj_15_piffif_AF2_20",15,"piffif","2","20","I","263",552,1453,2466,3087,5,11,14,16,"F","BB","AF"
"94","subj_15_piffif_AF2_39",15,"piffif","2","39","I","207",513,1344,2918,3782,5,10,15,17,"F","BB","AF"
"95","subj_15_piffif_AF2_48",15,"piffif","2","48","I","215",652,1483,2798,3289,6,11,15,16,"F","BB","AF"
"96","subj_15_piffif_Pre_0",15,"piffif","1","0","I","292",584,2143,2873,3548,6,13,15,17,"F","BB","AF"
"97","subj_15_piffif_Pre_31",15,"piffif","1","31","I","261",495,1964,2801,4242,5,13,15,18,"F","BB","AF"
"98","subj_15_piffif_Pre_42",15,"piffif","1","42","I","255",522,1902,2841,4274,5,13,15,18,"F","BB","AF"
"99","subj_15_tissif_1_Post",15,"tissif","4","1","I","183",433,2233,3015,4190,4,14,16,18,"F","BB","AF"
"100","subj_15_tissif_50_Post",15,"tissif","4","50","I","198",423,2077,2980,4278,4,13,16,18,"F","BB","AF"
