fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F1[Bark]	F2[Bark]
subj_17_tessif_AF2_32	E	266	522	1395	5	11
subj_17_tessif_MN1_31	E	306	617	1492	6	11
subj_17_tessif_MN1_35	E	281	582	1382	6	10
subj_17_tessif_MN1_40	E	305	612	1272	6	10
subj_17_tessif_Pre_17	E	229	599	1804	6	12
subj_17_tessif_Pre_27	E	225	561	1781	5	12
subj_17_tessif_Pre_9	E	226	600	1810	6	12
subj_18_keggif_27_Post	E	232	661	2034	6	13
subj_18_keggif_3_Post	E	232	674	2039	6	13
subj_18_keggif_53_Post	E	276	691	2037	6	13
subj_18_keggif_AF2_33	E	225	648	2027	6	13
subj_18_keggif_AF2_42	E	235	638	2160	6	13
subj_18_keggif_AF2_47	E	269	659	2055	6	13
subj_18_keggif_MN1_31	E	287	652	2025	6	13
subj_18_keggif_MN1_8	E	293	676	2045	6	13
subj_18_keggif_Pre_17	E	229	561	2096	5	13
subj_18_keggif_Pre_3	E	220	647	2099	6	13
subj_18_keggif_Pre_8	E	202	608	2046	6	13
subj_18_tessif_33_Post	E	239	647	2033	6	13
subj_18_tessif_45_Post	E	265	651	1890	6	13
subj_18_tessif_50_Post	E	237	451	2132	5	13
subj_18_tessif_AF2_14	E	224	617	1958	6	13
subj_18_tessif_AF2_48	E	223	618	1973	6	13
subj_18_tessif_AF2_52	E	264	621	1806	6	12
subj_18_tessif_MN1_14	E	258	682	2004	6	13
subj_18_tessif_MN1_4	E	266	671	1835	6	12
subj_18_tessif_MN1_43	E	282	653	1930	6	13
subj_18_tessif_Pre_39	E	203	628	1982	6	13
subj_18_tessif_Pre_41	E	197	557	1967	5	13
subj_18_tessif_Pre_44	E	247	561	1946	5	13
subj_19_keggif_15_Post	E	231	449	1943	5	13
subj_19_keggif_35_Post	E	217	527	2049	5	13
subj_19_keggif_50_Post	E	217	512	1881	5	12
subj_19_keggif_AF2_12	E	242	485	1399	5	11
subj_19_keggif_AF2_20	E	234	473	1401	5	11
subj_19_keggif_AF2_28	E	231	435	1337	4	10
subj_19_keggif_MN1_12	E	274	719	1443	7	11
subj_19_keggif_MN1_32	E	276	684	1436	6	11
subj_19_keggif_MN1_44	E	273	696	1550	7	11
subj_19_keggif_Pre_1	E	222	483	1983	5	13
subj_19_keggif_Pre_17	E	216	474	2009	5	13
subj_19_keggif_Pre_45	E	220	454	1989	5	13
subj_19_tessif_25_Post	E	218	503	1976	5	13
subj_19_tessif_27_Post	E	216	535	1948	5	13
subj_19_tessif_43_Post	E	224	437	1740	4	12
subj_19_tessif_AF2_18	E	200	569	1402	6	11
subj_19_tessif_AF2_19	E	228	448	1568	5	11
subj_19_tessif_AF2_27	E	234	453	1403	5	11
subj_19_tessif_MN1_15	E	254	601	1505	6	11
subj_19_tessif_MN1_16	E	259	570	1558	6	11
subj_19_tessif_MN1_46	E	270	642	1419	6	11
subj_19_tessif_Pre_15	E	221	451	1754	5	12
subj_19_tessif_Pre_33	E	221	448	1781	5	12
subj_19_tessif_Pre_44	E	206	475	1772	5	12
subj_1_keggif_18_Post	E	164	702	2199	7	14
subj_1_keggif_24_Post	E	247	723	2064	7	13
subj_1_keggif_38_Post	E	245	719	2196	7	14
subj_1_keggif_AF2_13	E	251	693	2217	6	14
subj_1_keggif_AF2_2	E	249	698	2077	7	13
subj_1_keggif_AF2_46	E	129	628	2257	6	14
subj_1_keggif_MN1_21	E	278	743	2180	7	13
subj_1_keggif_MN1_23	E	283	759	2095	7	13
subj_1_keggif_MN1_33	E	275	738	1988	7	13
subj_1_keggif_Pre_5	E	246	656	2103	6	13
subj_1_keggif_Pre_6	E	251	696	2029	7	13
subj_1_keggif_Pre_7	E	239	591	2211	6	14
subj_1_tessif_14_Post	E	257	746	2129	7	13
subj_1_tessif_50_Post	E	248	717	1962	7	13
subj_1_tessif_6_Post	E	267	544	1939	5	13
subj_1_tessif_AF2_17	E	124	648	1952	6	13
subj_1_tessif_AF2_43	E	260	640	1550	6	11
subj_1_tessif_AF2_8	E	252	650	1994	6	13
subj_1_tessif_MN1_15	E	283	753	1839	7	12
subj_1_tessif_MN1_3	E	265	723	1887	7	13
subj_1_tessif_MN1_45	E	286	644	1841	6	12
subj_1_tessif_Pre_10	E	238	688	1941	6	13
subj_1_tessif_Pre_14	E	248	682	1827	6	12
subj_1_tessif_Pre_46	E	252	687	2097	6	13
subj_20_keggif_5_Post	E	236	613	2116	6	13
subj_20_keggif_6_Post	E	238	632	2142	6	13
subj_20_keggif_7_Post	E	229	606	2108	6	13
subj_20_keggif_AF2_25	E	248	570	2168	6	13
subj_20_keggif_AF2_33	E	295	662	2106	6	13
subj_20_keggif_AF2_7	E	260	611	1936	6	13
subj_20_keggif_MN1_20	E	244	686	2050	6	13
subj_20_keggif_MN1_49	E	256	772	2009	7	13
subj_20_keggif_MN1_53	E	265	782	2094	7	13
subj_20_keggif_Pre_1	E	241	535	2200	5	14
subj_20_keggif_Pre_26	E	235	536	2187	5	13
subj_20_keggif_Pre_30	E	245	529	2106	5	13
subj_20_tessif_0_Post	E	242	589	1972	6	13
subj_20_tessif_45_Post	E	264	649	2098	6	13
subj_20_tessif_50_Post	E	240	657	2082	6	13
subj_20_tessif_AF2_29	E	262	563	2061	5	13
subj_20_tessif_AF2_32	E	246	565	1990	5	13
subj_20_tessif_AF2_45	E	234	581	2053	6	13
subj_20_tessif_MN1_41	E	252	624	1979	6	13
subj_20_tessif_MN1_46	E	250	676	1979	6	13
subj_20_tessif_MN1_47	E	267	736	1955	7	13
subj_20_tessif_Pre_12	E	240	561	2036	5	13
subj_20_tessif_Pre_31	E	242	602	1987	6	13
subj_20_tessif_Pre_4	E	263	741	2074	7	13
subj_21_keggif_49_Post	E	266	723	1994	7	13
subj_21_keggif_6_Post	E	278	552	2127	5	13
subj_21_keggif_8_Post	E	191	546	1966	5	13
subj_21_keggif_AF2_21	E	209	552	2062	5	13
subj_21_keggif_AF2_29	E	229	551	1995	5	13
subj_21_keggif_MN1_23	E	280	718	1923	7	13
subj_21_keggif_MN1_46	E	245	674	1947	6	13
subj_21_keggif_MN1_9	E	283	630	1782	6	12
subj_21_keggif_Pre_36	E	249	615	1928	6	13
subj_21_keggif_Pre_46	E	241	629	1981	6	13
subj_21_keggif_Pre_49	E	195	658	1988	6	13
subj_21_tessif_1_Post	E	202	552	1821	5	12
subj_21_tessif_22_Post	E	245	508	1898	5	13
subj_21_tessif_47_Post	E	256	608	1800	6	12
subj_21_tessif_AF2_2	E	204	600	1858	6	12
subj_21_tessif_AF2_35	E	217	433	1910	4	13
subj_21_tessif_AF2_49	E	219	492	1972	5	13
subj_21_tessif_MN1_25	E	281	589	1816	6	12
subj_21_tessif_MN1_41	E	275	763	1863	7	12
subj_21_tessif_MN1_5	E	288	632	1727	6	12
subj_21_tessif_Pre_37	E	246	521	1949	5	13
subj_21_tessif_Pre_50	E	246	484	1784	5	12
subj_21_tessif_Pre_7	E	247	507	1870	5	12
subj_22_keggif_13_Post	E	230	583	2154	6	13
subj_22_keggif_27_Post	E	222	601	2180	6	13
subj_22_keggif_7_Post	E	235	595	2136	6	13
subj_22_keggif_AF2_10	E	227	643	1557	6	11
subj_22_keggif_AF2_11	E	226	626	1558	6	11
subj_22_keggif_AF2_34	E	238	577	1309	6	10
subj_22_keggif_MN1_31	E	292	738	1488	7	11
subj_22_keggif_MN1_36	E	287	647	1427	6	11
subj_22_keggif_MN1_9	E	282	734	1478	7	11
subj_22_keggif_Pre_12	E	236	581	2231	6	14
subj_22_keggif_Pre_13	E	234	629	2126	6	13
subj_22_keggif_Pre_40	E	231	560	2298	5	14
subj_22_tessif_12_Post	E	230	627	2060	6	13
subj_22_tessif_20_Post	E	218	582	2116	6	13
subj_22_tessif_44_Post	E	220	493	2022	5	13
subj_22_tessif_AF2_14	E	246	574	1541	6	11
subj_22_tessif_AF2_23	E	229	580	1585	6	11
subj_22_tessif_AF2_52	E	244	598	1616	6	11
subj_22_tessif_MN1_21	E	274	704	1379	7	10
subj_22_tessif_MN1_50	E	283	667	1433	6	11
subj_22_tessif_Pre_26	E	244	634	2051	6	13
subj_22_tessif_Pre_49	E	226	549	2037	5	13
subj_22_tessif_Pre_6	E	233	445	2314	4	14
subj_23_keggif_45_Post	E	284	797	1937	7	13
subj_23_keggif_51_Post	E	285	797	1784	7	12
subj_23_keggif_7_Post	E	303	788	2102	7	13
subj_23_keggif_AF2_33	E	281	903	1571	8	11
subj_23_keggif_AF2_49	E	299	759	2095	7	13
subj_23_keggif_AF2_5	E	289	845	1985	8	13
subj_23_keggif_MN1_20	E	350	1027	1999	9	13
subj_23_keggif_MN1_40	E	366	1060	2209	9	14
subj_23_keggif_MN1_41	E	343	1022	2042	9	13
subj_23_keggif_Pre_34	E	285	835	1618	7	11
subj_23_keggif_Pre_35	E	272	871	2293	8	14
subj_23_keggif_Pre_43	E	278	831	1987	7	13
subj_23_tessif_11_Post	E	297	863	1926	8	13
subj_23_tessif_35_Post	E	303	834	2023	7	13
subj_23_tessif_40_Post	E	285	793	1831	7	12
subj_23_tessif_AF2_37	E	278	851	1874	8	12
subj_23_tessif_AF2_46	E	294	779	1923	7	13
subj_23_tessif_AF2_51	E	288	793	1584	7	11
subj_23_tessif_MN1_33	E	342	1024	1984	9	13
subj_23_tessif_MN1_43	E	364	1046	2003	9	13
subj_23_tessif_MN1_49	E	359	1059	2118	9	13
subj_23_tessif_Pre_10	E	268	876	1781	8	12
subj_23_tessif_Pre_2	E	266	1028	2302	9	14
subj_23_tessif_Pre_3	E	256	611	1427	6	11
subj_26_keggif_15_Post	E	259	660	2090	6	13
subj_26_keggif_41_Post	E	287	717	2059	7	13
subj_26_keggif_46_Post	E	265	691	1845	6	12
subj_26_keggif_AF2_34	E	259	713	1801	7	12
subj_26_keggif_AF2_41	E	274	852	2075	8	13
subj_26_keggif_AF2_52	E	267	854	2024	8	13
subj_26_keggif_MN1_0	E	284	868	1969	8	13
subj_26_keggif_MN1_2	E	284	806	1968	7	13
subj_26_keggif_MN1_45	E	282	685	1959	6	13
subj_26_keggif_Pre_17	E	252	631	2001	6	13
subj_26_keggif_Pre_20	E	247	653	1933	6	13
subj_26_keggif_Pre_45	E	252	642	1989	6	13
subj_26_tessif_10_Post	E	283	659	1921	6	13
subj_26_tessif_38_Post	E	288	744	1793	7	12
subj_26_tessif_9_Post	E	269	676	1683	6	12
subj_26_tessif_AF2_13	E	258	708	1625	7	12
subj_26_tessif_AF2_28	E	189	777	1675	7	12
subj_26_tessif_AF2_44	E	273	904	1544	8	11
subj_26_tessif_MN1_20	E	263	772	1500	7	11
subj_26_tessif_MN1_35	E	263	569	1397	6	11
subj_26_tessif_MN1_50	E	271	708	1642	7	12
subj_26_tessif_Pre_25	E	245	709	1736	7	12
subj_26_tessif_Pre_27	E	251	655	1691	6	12
subj_26_tessif_Pre_42	E	255	691	1754	6	12
subj_27_keggif_0_Post	E	262	576	2068	6	13
subj_27_keggif_45_Post	E	237	632	1891	6	13
subj_27_keggif_AF2_13	E	267	496	2060	5	13
subj_27_keggif_AF2_22	E	259	517	2036	5	13
subj_27_keggif_AF2_29	E	242	525	1982	5	13
subj_27_keggif_MN1_29	E	273	772	2066	7	13
subj_27_keggif_MN1_42	E	250	651	1980	6	13
subj_27_keggif_MN1_46	E	268	753	2052	7	13
subj_27_keggif_Pre_24	E	259	522	2009	5	13
subj_27_keggif_Pre_37	E	263	564	2053	5	13
subj_27_keggif_Pre_42	E	259	666	2000	6	13
subj_27_tessif_13_Post	E	257	574	1831	6	12
subj_27_tessif_22_Post	E	257	570	1879	6	12
subj_27_tessif_4_Post	E	260	481	1831	5	12
subj_27_tessif_AF2_30	E	259	537	1772	5	12
subj_27_tessif_AF2_31	E	257	469	1874	5	12
subj_27_tessif_AF2_49	E	263	478	1809	5	12
subj_27_tessif_MN1_21	E	265	735	1888	7	13
subj_27_tessif_MN1_41	E	268	553	1885	5	13
subj_27_tessif_MN1_45	E	281	680	1921	6	13
subj_27_tessif_Pre_17	E	253	495	1974	5	13
subj_27_tessif_Pre_32	E	259	532	1833	5	12
subj_27_tessif_Pre_39	E	262	558	2038	5	13
subj_28_keggif_13_Post	E	220	288	1687	3	12
subj_28_keggif_14_Post	E	203	412	2072	4	13
subj_28_keggif_5_Post	E	191	453	1901	5	13
subj_28_keggif_AF2_11	E	212	555	1164	5	9
subj_28_keggif_AF2_24	E	206	529	1370	5	10
subj_28_keggif_AF2_33	E	234	513	1252	5	10
subj_28_keggif_MN1_30	E	262	575	1237	6	10
subj_28_keggif_MN1_34	E	285	674	1213	6	10
subj_28_keggif_MN1_38	E	267	1099	1265	9	10
