"","fileName","subj","word","block","seq","Label","F0Hz","F1Hz","F2Hz","F3Hz","F4.Hz.","F1Bark","F2Bark","F3Bark","F4Bark","gender","BB"
"51","subj_11_piffif_AF2_30",11,"piffif","AF2","30","I","239",429,2407,3168,4425,4,14,16,18,"F","NB"
"52","subj_11_piffif_AF2_39",11,"piffif","AF2","39","I","234",424,2355,3025,4677,4,14,16,19,"F","NB"
"53","subj_11_piffif_MN1_19",11,"piffif","MN1","19","I","250",501,2177,2865,3967,5,13,15,18,"F","NB"
"54","subj_11_piffif_MN1_23",11,"piffif","MN1","23","I","255",485,2265,2999,4044,5,14,16,18,"F","NB"
"55","subj_11_piffif_MN1_29",11,"piffif","MN1","29","I","237",471,2138,2808,3917,5,13,15,17,"F","NB"
"56","subj_11_piffif_Pre_10",11,"piffif","Pre","10","I","99",347,2585,3225,4147,4,15,16,18,"F","NB"
"57","subj_11_piffif_Pre_49",11,"piffif","Pre","49","I","172",378,2352,2966,4095,4,14,16,18,"F","NB"
"58","subj_11_piffif_Pre_6",11,"piffif","Pre","6","I","206",408,2275,2881,4273,4,14,15,18,"F","NB"
"59","subj_11_tissif_31_Post",11,"tissif","Post","31","I","222",426,2379,3092,4485,4,14,16,18,"F","NB"
"60","subj_11_tissif_35_Post",11,"tissif","Post","35","I","230",438,2416,3075,4555,4,14,16,19,"F","NB"
"61","subj_11_tissif_50_Post",11,"tissif","Post","50","I","215",422,2384,3184,4603,4,14,16,19,"F","NB"
"62","subj_11_tissif_AF2_33",11,"tissif","AF2","33","I","231",432,2515,3168,4540,4,14,16,18,"F","NB"
"63","subj_11_tissif_AF2_41",11,"tissif","AF2","41","I","242",425,2431,3282,4471,4,14,16,18,"F","NB"
"64","subj_11_tissif_AF2_50",11,"tissif","AF2","50","I","223",431,2429,3195,4478,4,14,16,18,"F","NB"
"65","subj_11_tissif_MN1_31",11,"tissif","MN1","31","I","249",465,2278,2913,4563,5,14,15,19,"F","NB"
"66","subj_11_tissif_MN1_32",11,"tissif","MN1","32","I","248",480,2361,2997,4568,5,14,16,19,"F","NB"
"67","subj_11_tissif_MN1_53",11,"tissif","MN1","53","I","243",480,2135,2876,4352,5,13,15,18,"F","NB"
"68","subj_11_tissif_Pre_14",11,"tissif","Pre","14","I","217",419,2386,3080,4514,4,14,16,18,"F","NB"
"69","subj_11_tissif_Pre_27",11,"tissif","Pre","27","I","220",426,2426,3109,4568,4,14,16,19,"F","NB"
"70","subj_11_tissif_Pre_52",11,"tissif","Pre","52","I","195",385,2490,3061,4420,4,14,16,18,"F","NB"
"71","subj_14_kiggif_31_Post",14,"kiggif","Post","31","I","250",443,2452,3162,3835,4,14,16,17,"F","BB"
"72","subj_14_kiggif_36_Post",14,"kiggif","Post","36","I","264",448,2353,3176,3915,5,14,16,17,"F","BB"
