"","subj","VTL"
"1",1,15.2779258479066
"2",10,14.8720980892513
"3",11,13.9238109112098
"4",14,14.743856726364
"5",15,14.9851505771789
"6",17,15.5020690741762
"7",18,15.514614662199
"8",19,15.2289255351839
"9",1,15.2779258479066
"10",20,14.9760941193324
"11",21,15.4555093684763
"12",22,14.1584612092579
"13",23,15.2176478379713
"14",26,15.3375505904657
"15",27,15.8567944655507
"16",28,14.4706676240819
"17",30,17.0292155936975
"18",31,14.1612138183273
"19",32,15.7688463654842
"20",34,14.4895333879078
"21",35,14.4993932038835
"22",36,15.8105176594025
"23",37,14.8679504401652
"24",38,14.0391003191563
"25",41,14.8596785799952
"26",42,16.2274648860905
"27",44,14.8138799585514
"28",45,15.3973435635555
"29",46,15.0323477739569
"30",47,14.5930825394921
"31",48,15.3017598876384
"32",49,15.8805999907431
"33",4,16.488569935826
"34",50,15.1129814289635
"35",51,15.3646891857445
"36",52,14.6720305782433
"37",53,15.1152860802733
"38",54,15.5576045489294
"39",55,15.6024415981157
"40",56,14.3545843658482
"41",57,15.9583450605122
"42",58,14.3783740734631
"43",59,16.3779566108748
"44",5,16.2432234930238
"45",7,14.0596483301725
"46",9,13.6539841136762
"47",12,17.3231302600696
"48",13,17.6810793740561
"49",29,15.8549907935553
"50",2,16.2838480174185
"51",33,16.9342357564851
"52",3,17.7148467286869
"53",40,17.7143153500798
"54",43,17.5917733625539
"55",60,18.5562105850482
